cf,cm,mode,rload,rsrc,cprobe,fcross_hz,pm_deg,tdb_10hz
820p,470p,10,10k,1m,1f,866325,83.4282,70.2775
820p,470p,10,10k,1m,470p,881421,80.6012,70.2775
820p,470p,10,10k,1m,1n,883952,77.909,70.2776
820p,470p,10,10k,1m,1.5n,873481,76.2318,70.2776
820p,470p,10,10k,1m,2.2n,848076,75.2005,70.2776
820p,470p,10,10k,1m,2.7n,828084,75.0996,70.2776
820p,470p,10,10k,1m,3.3n,805377,75.3684,70.2777
820p,470p,10,10k,1m,4.7n,762287,76.6696,70.2778
820p,470p,10,10k,2.611k,1f,865996,82.7328,70.2775
820p,470p,10,10k,2.611k,470p,881063,79.8956,70.2775
820p,470p,10,10k,2.611k,1n,883593,77.2027,70.2776
820p,470p,10,10k,2.611k,1.5n,873142,75.534,70.2776
820p,470p,10,10k,2.611k,2.2n,847784,74.5219,70.2776
820p,470p,10,10k,2.611k,2.7n,827819,74.4361,70.2776
820p,470p,10,10k,2.611k,3.3n,805137,74.722,70.2777
820p,470p,10,10k,2.611k,4.7n,762084,76.0562,70.2778
1n,470p,0,100k,1m,1f,940601,65.6748,81.4173
1n,470p,0,100k,1m,470p,957841,62.7393,81.4173
1n,470p,0,100k,1m,1n,960512,59.707,81.4173
1n,470p,0,100k,1m,1.5n,948434,57.6451,81.4173
1n,470p,0,100k,1m,2.2n,920673,56.0934,81.4173
1n,470p,0,100k,1m,2.7n,899766,55.65,81.4173
1n,470p,0,100k,1m,3.3n,876772,55.543,81.4173
1n,470p,0,100k,1m,4.7n,835082,56.1105,81.4173
1n,470p,0,100k,2.611k,1f,940242,64.9139,81.4173
1n,470p,0,100k,2.611k,470p,957446,61.9665,81.4173
1n,470p,0,100k,2.611k,1n,960118,58.9337,81.4173
1n,470p,0,100k,2.611k,1.5n,948073,56.8815,81.4173
1n,470p,0,100k,2.611k,2.2n,920359,55.3512,81.4173
1n,470p,0,100k,2.611k,2.7n,899481,54.9237,81.4173
1n,470p,0,100k,2.611k,3.3n,876514,54.8344,81.4173
1n,470p,0,100k,2.611k,4.7n,834863,55.4341,81.4173
1n,470p,0,10k,1m,1f,939312,65.665,81.2287
1n,470p,0,10k,1m,470p,956291,62.7647,81.2287
1n,470p,0,10k,1m,1n,959030,59.7648,81.2288
1n,470p,0,10k,1m,1.5n,947268,57.715,81.2288
1n,470p,0,10k,1m,2.2n,919950,56.1606,81.2288
1n,470p,0,10k,1m,2.7n,899283,55.7098,81.2289
1n,470p,0,10k,1m,3.3n,876488,55.5934,81.2289
1n,470p,0,10k,1m,4.7n,835030,56.143,81.229
1n,470p,0,10k,2.611k,1f,938954,64.9051,81.2287
1n,470p,0,10k,2.611k,470p,955898,61.9932,81.2287
1n,470p,0,10k,2.611k,1n,958637,58.9926,81.2288
1n,470p,0,10k,2.611k,1.5n,946907,56.9522,81.2288
1n,470p,0,10k,2.611k,2.2n,919636,55.4191,81.2288
1n,470p,0,10k,2.611k,2.7n,898999,54.984,81.2289
1n,470p,0,10k,2.611k,3.3n,876230,54.885,81.2289
1n,470p,0,10k,2.611k,4.7n,834811,55.4666,81.229
1n,470p,10,100k,1m,1f,895001,79.7395,70.4452
1n,470p,10,100k,1m,470p,910786,76.8064,70.4452
1n,470p,10,100k,1m,1n,913130,73.993,70.4452
1n,470p,10,100k,1m,1.5n,901866,72.2385,70.4452
1n,470p,10,100k,1m,2.2n,875268,71.1525,70.4452
1n,470p,10,100k,1m,2.7n,854770,71.0277,70.4452
1n,470p,10,100k,1m,3.3n,831783,71.2724,70.4452
1n,470p,10,100k,1m,4.7n,789047,72.5178,70.4452
1n,470p,10,100k,2.611k,1f,894657,79.0205,70.4452
1n,470p,10,100k,2.611k,470p,910418,76.0766,70.4452
1n,470p,10,100k,2.611k,1n,912755,73.2629,70.4452
1n,470p,10,100k,2.611k,1.5n,901519,71.5173,70.4452
