mode,c124,c137,riso,rsrc,rload,ccable,pm_deg
0,4.935E-10,3.465E-10,46.53,2.5k,10k,2.5n,62.397
0,4.935E-10,3.465E-10,46.53,2.5k,10k,2.7n,62.2673
0,4.935E-10,3.465E-10,46.53,2.5k,10k,2.9n,62.1762
0,4.935E-10,3.465E-10,46.53,2.5k,10k,3.1n,62.1199
0,4.935E-10,3.465E-10,46.53,2.5k,10k,3.3n,62.0936
0,4.935E-10,3.465E-10,46.53,2.5k,10k,3.5n,62.0906
0,4.935E-10,3.465E-10,46.53,2.5k,10k,3.8n,62.1242
0,4.935E-10,3.465E-10,46.53,2.5k,10k,4.2n,62.2232
0,4.935E-10,3.465E-10,46.53,2.5k,10k,4.7n,62.4062
0,4.935E-10,3.465E-10,46.53,2.611k,100k,2n,62.865
0,4.935E-10,3.465E-10,46.53,2.611k,100k,2.3n,62.4962
0,4.935E-10,3.465E-10,46.53,2.611k,100k,2.5n,62.3199
0,4.935E-10,3.465E-10,46.53,2.611k,100k,2.7n,62.1921
0,4.935E-10,3.465E-10,46.53,2.611k,100k,2.9n,62.1035
0,4.935E-10,3.465E-10,46.53,2.611k,100k,3.1n,62.0494
0,4.935E-10,3.465E-10,46.53,2.611k,100k,3.3n,62.0255
0,4.935E-10,3.465E-10,46.53,2.611k,100k,3.5n,62.0248
0,4.935E-10,3.465E-10,46.53,2.611k,100k,3.8n,62.0617
0,4.935E-10,3.465E-10,46.53,2.611k,100k,4.2n,62.1649
0,4.935E-10,3.465E-10,46.53,2.611k,100k,4.7n,62.3526
0,4.935E-10,3.465E-10,46.53,2.611k,10k,2n,62.92
0,4.935E-10,3.465E-10,46.53,2.611k,10k,2.3n,62.5493
0,4.935E-10,3.465E-10,46.53,2.611k,10k,2.5n,62.3714
0,4.935E-10,3.465E-10,46.53,2.611k,10k,2.7n,62.2419
0,4.935E-10,3.465E-10,46.53,2.611k,10k,2.9n,62.151
0,4.935E-10,3.465E-10,46.53,2.611k,10k,3.1n,62.0949
0,4.935E-10,3.465E-10,46.53,2.611k,10k,3.3n,62.0688
0,4.935E-10,3.465E-10,46.53,2.611k,10k,3.5n,62.066
0,4.935E-10,3.465E-10,46.53,2.611k,10k,3.8n,62.0998
0,4.935E-10,3.465E-10,46.53,2.611k,10k,4.2n,62.1991
0,4.935E-10,3.465E-10,46.53,2.611k,10k,4.7n,62.3824
0,4.935E-10,3.465E-10,47.47,2.5k,100k,2n,62.9581
0,4.935E-10,3.465E-10,47.47,2.5k,100k,2.3n,62.6052
0,4.935E-10,3.465E-10,47.47,2.5k,100k,2.5n,62.4392
0,4.935E-10,3.465E-10,47.47,2.5k,100k,2.7n,62.3211
0,4.935E-10,3.465E-10,47.47,2.5k,100k,2.9n,62.241
0,4.935E-10,3.465E-10,47.47,2.5k,100k,3.1n,62.1952
0,4.935E-10,3.465E-10,47.47,2.5k,100k,3.3n,62.1786
0,4.935E-10,3.465E-10,47.47,2.5k,100k,3.5n,62.1844
0,4.935E-10,3.465E-10,47.47,2.5k,100k,3.8n,62.2302
0,4.935E-10,3.465E-10,47.47,2.5k,100k,4.2n,62.3427
0,4.935E-10,3.465E-10,47.47,2.5k,100k,4.7n,62.5392
0,4.935E-10,3.465E-10,47.47,2.5k,10k,2n,63.0129
0,4.935E-10,3.465E-10,47.47,2.5k,10k,2.3n,62.6579
0,4.935E-10,3.465E-10,47.47,2.5k,10k,2.5n,62.4903
0,4.935E-10,3.465E-10,47.47,2.5k,10k,2.7n,62.3702
0,4.935E-10,3.465E-10,47.47,2.5k,10k,2.9n,62.2879
0,4.935E-10,3.465E-10,47.47,2.5k,10k,3.1n,62.24
0,4.935E-10,3.465E-10,47.47,2.5k,10k,3.3n,62.2212
0,4.935E-10,3.465E-10,47.47,2.5k,10k,3.5n,62.2249
0,4.935E-10,3.465E-10,47.47,2.5k,10k,3.8n,62.2675
0,4.935E-10,3.465E-10,47.47,2.5k,10k,4.2n,62.3761
0,4.935E-10,3.465E-10,47.47,2.5k,10k,4.7n,62.5682
0,4.935E-10,3.465E-10,47.47,2.611k,100k,2n,62.932
0,4.935E-10,3.465E-10,47.47,2.611k,100k,2.3n,62.5794
0,4.935E-10,3.465E-10,47.47,2.611k,100k,2.5n,62.4136
0,4.935E-10,3.465E-10,47.47,2.611k,100k,2.7n,62.2957
0,4.935E-10,3.465E-10,47.47,2.611k,100k,2.9n,62.2158
0,4.935E-10,3.465E-10,47.47,2.611k,100k,3.1n,62.1701
0,4.935E-10,3.465E-10,47.47,2.611k,100k,3.3n,62.1538
0,4.935E-10,3.465E-10,47.47,2.611k,100k,3.5n,62.1598
0,4.935E-10,3.465E-10,47.47,2.611k,100k,3.8n,62.2057
0,4.935E-10,3.465E-10,47.47,2.611k,100k,4.2n,62.3186
0,4.935E-10,3.465E-10,47.47,2.611k,100k,4.7n,62.5154
0,4.935E-10,3.465E-10,47.47,2.611k,10k,2n,62.9868
0,4.935E-10,3.465E-10,47.47,2.611k,10k,2.3n,62.6321
0,4.935E-10,3.465E-10,47.47,2.611k,10k,2.5n,62.4647
0,4.935E-10,3.465E-10,47.47,2.611k,10k,2.7n,62.3449
0,4.935E-10,3.465E-10,47.47,2.611k,10k,2.9n,62.2627
0,4.935E-10,3.465E-10,47.47,2.611k,10k,3.1n,62.215
0,4.935E-10,3.465E-10,47.47,2.611k,10k,3.3n,62.1964
0,4.935E-10,3.465E-10,47.47,2.611k,10k,3.5n,62.2002
0,4.935E-10,3.465E-10,47.47,2.611k,10k,3.8n,62.243
0,4.935E-10,3.465E-10,47.47,2.611k,10k,4.2n,62.352
0,4.935E-10,3.465E-10,47.47,2.611k,10k,4.7n,62.5444
3,4.465E-10,3.135E-10,46.53,2.5k,100k,2n,69.6852
3,4.465E-10,3.135E-10,46.53,2.5k,100k,2.3n,69.4668
3,4.465E-10,3.135E-10,46.53,2.5k,100k,2.5n,69.3923
3,4.465E-10,3.135E-10,46.53,2.5k,100k,2.7n,69.3642
3,4.465E-10,3.135E-10,46.53,2.5k,100k,2.9n,69.3723
3,4.465E-10,3.135E-10,46.53,2.5k,100k,3.1n,69.4122
3,4.465E-10,3.135E-10,46.53,2.5k,100k,3.3n,69.4762
3,4.465E-10,3.135E-10,46.53,2.5k,100k,3.5n,69.5599
3,4.465E-10,3.135E-10,46.53,2.5k,100k,3.8n,69.7154
3,4.465E-10,3.135E-10,46.53,2.5k,100k,4.2n,69.9583
3,4.465E-10,3.135E-10,46.53,2.5k,100k,4.7n,70.2981
3,4.465E-10,3.135E-10,46.53,2.5k,10k,2n,69.7455
3,4.465E-10,3.135E-10,46.53,2.5k,10k,2.3n,69.5234
