mode,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
10db,1m,2,470p,492414,106.607,70.4373,100k
10db,1m,2,1n,499326,105.174,70.4373,100k
10db,1m,2,1.5n,505875,103.764,70.4373,100k
10db,1m,2,2.2n,514880,101.703,70.4373,100k
10db,1m,2,2.7n,521152,100.169,70.4372,100k
10db,1m,2,3.3n,528293,98.2712,70.4372,100k
10db,1m,2,4.7n,542296,93.6851,70.4372,100k
10db,1k,1,1f,486310,107.674,70.4373,100k
10db,1k,1,47p,486899,107.554,70.4373,100k
10db,1k,1,100p,487530,107.419,70.4373,100k
10db,1k,1,220p,488828,107.112,70.4373,100k
