var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_tip,2.611k,1,2.7n,853370,56.1449,81.2105,10k
b_tip,2.611k,1,3.3n,833062,55.877,81.2105,10k
b_tip,2.611k,1,4.7n,795124,56.1532,81.2106,10k
b_max,1m,1,1f,887774,66.2807,81.3936,100k
b_max,1m,1,47p,889596,66.0235,81.3936,100k
b_max,1m,1,100p,891559,65.7302,81.3936,100k
b_max,1m,1,220p,895673,65.0542,81.3936,100k
b_max,1m,1,470p,902055,63.6319,81.3936,100k
b_max,1m,1,1n,904646,60.8305,81.3936,100k
b_max,1m,1,1.5n,895100,58.8111,81.3936,100k
b_max,1m,1,2.2n,871814,57.1277,81.3936,100k
b_max,1m,1,2.7n,853640,56.5438,81.3936,100k
b_max,1m,1,3.3n,833146,56.2729,81.3936,100k
b_max,1m,1,4.7n,794979,56.545,81.3936,100k
b_max,1k,1,1f,887741,66.1155,81.3936,100k
b_max,1k,1,47p,889563,65.858,81.3936,100k
b_max,1k,1,100p,891525,65.5643,81.3936,100k
b_max,1k,1,220p,895638,64.8876,81.3936,100k
b_max,1k,1,470p,902020,63.4642,81.3936,100k
b_max,1k,1,1n,904610,60.6625,81.3936,100k
b_max,1k,1,1.5n,895067,58.6449,81.3936,100k
b_max,1k,1,2.2n,871784,56.9657,81.3936,100k
b_max,1k,1,2.7n,853614,56.3851,81.3936,100k
b_max,1k,1,3.3n,833122,56.118,81.3936,100k
b_max,1k,1,4.7n,794958,56.397,81.3936,100k
b_max,2.5k,1,1f,887630,65.8699,81.3936,100k
b_max,2.5k,1,47p,889448,65.612,81.3936,100k
b_max,2.5k,1,100p,891407,65.318,81.3936,100k
b_max,2.5k,1,220p,895518,64.6403,81.3936,100k
b_max,2.5k,1,470p,901896,63.2154,81.3936,100k
b_max,2.5k,1,1n,904487,60.4134,81.3936,100k
b_max,2.5k,1,1.5n,894949,58.3985,81.3936,100k
b_max,2.5k,1,2.2n,871682,56.7255,81.3936,100k
b_max,2.5k,1,2.7n,853520,56.1497,81.3936,100k
b_max,2.5k,1,3.3n,833037,55.8879,81.3936,100k
b_max,2.5k,1,4.7n,794886,56.177,81.3936,100k
