col0,col1,col2,col3,col4,col5,col6,col7
8.228e-05,0.247128743,8.228e-05,0.717258577,8.228e-05,0.765014886,8.228e-05,1.60463113
8.328e-05,0.249854882,8.328e-05,0.725890238,8.328e-05,0.773638271,8.328e-05,1.61332302
8.428e-05,0.252571157,8.428e-05,0.734491312,8.428e-05,0.782231063,8.428e-05,1.62198413
8.528e-05,0.255277462,8.528e-05,0.7430615,8.528e-05,0.790792963,8.528e-05,1.63061411
8.628e-05,0.257973688,8.628e-05,0.751600423,8.628e-05,0.799323594,8.628e-05,1.63921262
8.728e-05,0.26065973,8.728e-05,0.760107785,8.728e-05,0.807822659,8.728e-05,1.64777933
8.828e-05,0.263335482,8.828e-05,0.76858321,8.828e-05,0.816289783,8.828e-05,1.65631389
8.928e-05,0.266000838,8.928e-05,0.777026402,8.928e-05,0.824724669,8.928e-05,1.66481598
9.028e-05,0.268655692,9.028e-05,0.785436991,9.028e-05,0.833126948,9.028e-05,1.67328524
9.128e-05,0.27129994,9.128e-05,0.79381468,9.128e-05,0.841496324,9.128e-05,1.68172136
9.228e-05,0.273933478,9.228e-05,0.802159103,9.228e-05,0.849832432,9.228e-05,1.690124
9.328e-05,0.276556202,9.328e-05,0.810469966,9.328e-05,0.858134976,9.328e-05,1.69849282
9.428e-05,0.279168007,9.428e-05,0.818746907,9.428e-05,0.866403596,9.428e-05,1.70682749
9.528e-05,0.281768792,9.528e-05,0.826989632,9.528e-05,0.874637997,9.528e-05,1.71512769
9.628e-05,0.284358452,9.628e-05,0.835197784,9.628e-05,0.882837823,9.628e-05,1.72339308
9.728e-05,0.286936887,9.728e-05,0.843371069,9.728e-05,0.891002782,9.728e-05,1.73162335
9.828e-05,0.289503994,9.828e-05,0.851509135,9.828e-05,0.89913252,9.828e-05,1.73981816
9.928e-05,0.292059672,9.928e-05,0.85961169,9.928e-05,0.907226746,9.928e-05,1.7479772
0.00010028,0.294603819,0.00010028,0.867678384,0.00010028,0.915285112,0.00010028,1.75610014
0.00010128,0.297136337,0.00010128,0.875708929,0.00010128,0.923307328,0.00010128,1.76418666
0.00010228,0.299657124,0.00010228,0.883702979,0.00010228,0.931293048,0.00010228,1.77223643
0.00010328,0.302166081,0.00010328,0.891660247,0.00010328,0.939241987,0.00010328,1.78024916
0.00010428,0.304663109,0.00010428,0.89958039,0.00010428,0.947153802,0.00010428,1.78822451
0.00010528,0.307148109,0.00010528,0.907463123,0.00010528,0.955028209,0.00010528,1.79616217
0.00010628,0.309620984,0.00010628,0.915308108,0.00010628,0.962864868,0.00010628,1.80406183
0.00010728,0.312081635,0.00010728,0.923115061,0.00010728,0.970663499,0.00010728,1.81192318
0.00010828,0.314529966,0.00010828,0.93088365,0.00010828,0.978423766,0.00010828,1.8197459
0.00010928,0.31696588,0.00010928,0.938613592,0.00010928,0.986145389,0.00010928,1.8275297
0.00011028,0.31938928,0.00011028,0.946304557,0.00011028,0.993828039,0.00011028,1.83527425
0.00011128,0.321800072,0.00011128,0.953956266,0.00011128,1.00147144,0.00011128,1.84297926
